epoch,step,train_acc,train_loss,train_mask_ratio
0,49,0.0,9.233187675476074,0.940185546875
0,99,6.103515625e-05,9.206138610839844,0.939453125
1,149,6.103515625e-05,8.997346878051758,0.93939208984375
1,199,0.00177001953125,8.617474555969238,0.9393310546875
2,249,0.0303955078125,7.957907676696777,0.93975830078125
2,299,0.068115234375,7.338094711303711,0.9393310546875
3,349,0.1431884765625,6.647999286651611,0.93878173828125
3,399,0.27801513671875,6.085197448730469,0.93853759765625
4,449,0.48406982421875,5.2664594650268555,0.93914794921875
4,499,0.7481689453125,4.344589710235596,0.93963623046875
5,549,0.8843994140625,3.553466558456421,0.94000244140625
5,599,0.8990478515625,2.783104658126831,0.9393310546875
6,649,0.9190673828125,2.667412042617798,0.93890380859375
6,699,0.9306640625,2.475795030593872,0.9385986328125
7,749,0.93182373046875,1.9061342477798462,0.938720703125
7,799,0.9403076171875,1.4066908359527588,0.939453125
8,849,0.94189453125,1.4549659490585327,0.9381103515625
8,899,0.94537353515625,1.514872431755066,0.9383544921875
9,949,0.93756103515625,1.3572614192962646,0.9371337890625
9,999,0.93829345703125,1.5513520240783691,0.9375
10,1049,0.9345703125,1.5259212255477905,0.93707275390625
10,1099,0.93609619140625,1.3110816478729248,0.93804931640625
11,1149,0.93719482421875,1.518722414970398,0.93634033203125
11,1199,0.93524169921875,1.2626769542694092,0.93572998046875
12,1249,0.93701171875,1.1520273685455322,0.9364013671875
12,1299,0.93560791015625,1.322992205619812,0.93536376953125
13,1349,0.93768310546875,1.100368857383728,0.93609619140625
13,1399,0.9365234375,0.9983037114143372,0.935302734375
14,1449,0.93316650390625,0.8496657013893127,0.931396484375
14,1499,0.9420166015625,0.7517166137695312,0.93463134765625
15,1549,0.9366455078125,0.6873001456260681,0.9339599609375
15,1599,0.94049072265625,0.5912746787071228,0.9337158203125
16,1649,0.93597412109375,0.5938711166381836,0.93304443359375
16,1699,0.935302734375,0.6548516750335693,0.93243408203125
17,1749,0.9366455078125,0.5695554614067078,0.9326171875
17,1799,0.93609619140625,0.5829337239265442,0.931396484375
18,1849,0.9591064453125,0.4702693521976471,0.931884765625
18,1899,0.9398193359375,0.512178897857666,0.93109130859375
19,1949,0.93914794921875,0.5279709696769714,0.93011474609375
19,1999,0.940673828125,0.5220602750778198,0.9293212890625
20,2049,0.93292236328125,0.5635652542114258,0.930908203125
20,2099,0.93798828125,0.5284276008605957,0.9296875
21,2149,0.93994140625,0.5594571828842163,0.92889404296875
21,2199,0.95159912109375,0.4831255376338959,0.9287109375
22,2249,0.93798828125,0.5212787389755249,0.92724609375
22,2299,0.94744873046875,0.5056399703025818,0.93133544921875
23,2349,0.93603515625,0.531099796295166,0.9267578125
23,2399,0.9576416015625,0.4375969171524048,0.9317626953125
24,2449,0.93963623046875,0.4946247935295105,0.92706298828125
24,2499,0.93450927734375,0.5089206099510193,0.92645263671875
